epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.934,1.88035,1.09792,1.2848,0.75146,0.6802,0.70416,0.22481,2.36792,1.14532,1.59412,0.0011882,0.0011882,0.0011882
43,144.809,1.864,1.03093,1.27268,0.7703,0.69543,0.72249,0.23652,2.28296,1.14863,1.53934,0.0011684,0.0011684,0.0011684
44,147.512,1.85772,1.0393,1.26274,0.77332,0.74619,0.74255,0.23426,2.31217,1.13877,1.52509,0.0011486,0.0011486,0.0011486
45,150.061,1.87659,1.0154,1.28885,0.77056,0.75635,0.72632,0.23388,2.34889,1.15607,1.55144,0.0011288,0.0011288,0.0011288
46,153.668,1.86434,1.04493,1.26182,0.81932,0.73658,0.7866,0.29756,2.2064,1.04617,1.4734,0.001109,0.001109,0.001109
47,157.872,1.90884,1.02278,1.30487,0.77131,0.75332,0.75766,0.24303,2.41468,1.10064,1.55296,0.0010892,0.0010892,0.0010892
48,160.695,1.91743,1.00333,1.26906,0.77045,0.76668,0.78773,0.25468,2.32894,1.11097,1.53813,0.0010694,0.0010694,0.0010694
49,163.252,1.87349,1.04695,1.26475,0.8313,0.72541,0.80898,0.28251,2.24738,1.05791,1.50785,0.0010496,0.0010496,0.0010496
50,166.246,1.87228,0.98449,1.24771,0.74108,0.68287,0.71291,0.24478,2.38927,1.06285,1.5797,0.0010298,0.0010298,0.0010298
51,169.994,1.88234,0.99669,1.25571,0.84026,0.72095,0.80726,0.28817,2.24889,1.02924,1.49865,0.00101,0.00101,0.00101
52,173.811,1.88971,1.00606,1.26885,0.80844,0.72589,0.78671,0.25845,2.30869,1.0927,1.55537,0.0009902,0.0009902,0.0009902
53,176.589,1.87192,1.00642,1.27325,0.80428,0.7868,0.82784,0.27886,2.29564,1.02021,1.52363,0.0009704,0.0009704,0.0009704
54,179.216,1.84284,0.99254,1.24544,0.78098,0.77665,0.82774,0.27944,2.31789,1.00965,1.51505,0.0009506,0.0009506,0.0009506
55,182.077,1.90608,0.99599,1.2752,0.82382,0.77157,0.8257,0.29783,2.24384,0.994,1.46143,0.0009308,0.0009308,0.0009308
56,186.04,1.92203,1.02898,1.26953,0.82557,0.79284,0.84502,0.31436,2.19757,0.97328,1.45975,0.000911,0.000911,0.000911
57,189.548,1.86552,0.99514,1.23875,0.8492,0.75635,0.81612,0.3139,2.20713,0.98975,1.47754,0.0008912,0.0008912,0.0008912
58,192.394,1.87044,0.98818,1.26577,0.85982,0.77837,0.84028,0.30784,2.26807,0.98436,1.50629,0.0008714,0.0008714,0.0008714
59,195.213,1.85167,0.96688,1.28049,0.81135,0.7868,0.80795,0.30791,2.23733,0.95729,1.49299,0.0008516,0.0008516,0.0008516
60,198.309,1.8543,0.94618,1.25375,0.87284,0.80142,0.86236,0.31977,2.17951,0.96118,1.4797,0.0008318,0.0008318,0.0008318
61,202.253,1.83864,0.95296,1.23113,0.84366,0.7868,0.82671,0.29868,2.24136,0.97661,1.50138,0.000812,0.000812,0.000812
62,205.45,1.80965,0.93717,1.21119,0.80603,0.77157,0.80477,0.27974,2.30523,0.97665,1.51853,0.0007922,0.0007922,0.0007922
63,207.848,1.76711,0.91262,1.24347,0.79888,0.75127,0.78562,0.28157,2.30965,0.99094,1.52214,0.0007724,0.0007724,0.0007724
64,211.066,1.77736,0.90927,1.19207,0.83289,0.74112,0.82942,0.29601,2.26887,0.98165,1.50697,0.0007526,0.0007526,0.0007526
65,214.049,1.77196,0.90773,1.22152,0.78603,0.78319,0.81228,0.25306,2.38382,0.99665,1.57274,0.0007328,0.0007328,0.0007328
66,218.355,1.77369,0.9228,1.24642,0.7831,0.77665,0.82055,0.28962,2.27524,0.99298,1.52182,0.000713,0.000713,0.000713
67,221.34,1.84546,0.93334,1.22188,0.83511,0.76142,0.82904,0.30954,2.22159,0.98717,1.4905,0.0006932,0.0006932,0.0006932
68,224.395,1.80135,0.93656,1.20775,0.82382,0.75957,0.81548,0.28264,2.28612,1.02155,1.51563,0.0006734,0.0006734,0.0006734
69,227.114,1.81698,0.92372,1.24792,0.79441,0.76497,0.79577,0.27137,2.29552,0.99952,1.50781,0.0006536,0.0006536,0.0006536
70,230.272,1.79009,0.91252,1.24318,0.80253,0.77665,0.78217,0.26433,2.3513,0.97392,1.52945,0.0006338,0.0006338,0.0006338
71,234.324,1.82949,0.93388,1.25253,0.80775,0.78173,0.81196,0.29528,2.2965,0.94701,1.50585,0.000614,0.000614,0.000614
72,237.321,1.77251,0.88603,1.21034,0.81591,0.77665,0.82444,0.3094,2.25163,0.93496,1.48917,0.0005942,0.0005942,0.0005942
73,239.958,1.76989,0.8759,1.2268,0.80826,0.79695,0.82729,0.32116,2.23971,0.94799,1.48408,0.0005744,0.0005744,0.0005744
74,242.745,1.75474,0.8974,1.24553,0.81051,0.78163,0.81464,0.30463,2.30068,0.97342,1.52034,0.0005546,0.0005546,0.0005546
75,245.871,1.79154,0.88428,1.19291,0.82807,0.80679,0.84301,0.31783,2.24934,0.95806,1.49135,0.0005348,0.0005348,0.0005348
76,250.028,1.78571,0.87026,1.21786,0.81256,0.7868,0.82402,0.30323,2.31293,0.92713,1.51708,0.000515,0.000515,0.000515
77,252.972,1.71527,0.85733,1.2219,0.80584,0.79188,0.83309,0.30998,2.30673,0.92726,1.51749,0.0004952,0.0004952,0.0004952
78,255.771,1.7222,0.85245,1.23358,0.81646,0.80203,0.84389,0.31105,2.29468,0.9256,1.51082,0.0004754,0.0004754,0.0004754
79,258.601,1.75593,0.86843,1.20628,0.82691,0.776,0.81675,0.29803,2.29988,0.93825,1.50574,0.0004556,0.0004556,0.0004556
80,262.212,1.78266,0.88086,1.22278,0.78523,0.7868,0.82042,0.29668,2.28821,0.94339,1.49382,0.0004358,0.0004358,0.0004358
81,265.973,1.69168,0.87492,1.13911,0.79321,0.79834,0.83597,0.30395,2.266,0.93772,1.49755,0.000416,0.000416,0.000416
82,268.857,1.67236,0.83712,1.18034,0.82224,0.78173,0.84047,0.30711,2.24131,0.96131,1.50403,0.0003962,0.0003962,0.0003962
83,271.423,1.72801,0.87883,1.21748,0.82808,0.7665,0.80028,0.29691,2.28511,0.99302,1.52917,0.0003764,0.0003764,0.0003764
84,274.3,1.73609,0.85112,1.21711,0.83179,0.77157,0.82745,0.31539,2.28443,0.93996,1.52798,0.0003566,0.0003566,0.0003566
85,277.822,1.73745,0.84276,1.18143,0.83884,0.79265,0.8436,0.3163,2.25621,0.915,1.5097,0.0003368,0.0003368,0.0003368
86,281.437,1.66018,0.82584,1.16437,0.7978,0.80711,0.82195,0.30432,2.28576,0.91664,1.50927,0.000317,0.000317,0.000317
87,284.55,1.68989,0.84185,1.19472,0.76294,0.7868,0.79556,0.29457,2.33991,0.92962,1.52103,0.0002972,0.0002972,0.0002972
88,287.343,1.70322,0.8447,1.1986,0.81093,0.75127,0.81705,0.31445,2.29071,0.91425,1.50379,0.0002774,0.0002774,0.0002774
89,290.101,1.67486,0.84648,1.18825,0.81895,0.78173,0.83878,0.31838,2.27638,0.91279,1.50345,0.0002576,0.0002576,0.0002576
90,293.651,1.72799,0.8726,1.21455,0.80392,0.77005,0.82148,0.31148,2.28346,0.92212,1.50794,0.0002378,0.0002378,0.0002378
91,299.42,1.66783,0.864,1.20335,0.79513,0.78173,0.8195,0.29804,2.32473,0.93665,1.52802,0.000218,0.000218,0.000218
92,302.454,1.63668,0.80926,1.20654,0.77014,0.79936,0.81721,0.28773,2.37093,0.93381,1.54608,0.0001982,0.0001982,0.0001982
93,304.932,1.67718,0.79409,1.23149,0.77195,0.80203,0.82854,0.28999,2.36146,0.92064,1.53696,0.0001784,0.0001784,0.0001784
94,308.487,1.61571,0.77648,1.19542,0.78654,0.80203,0.82682,0.29678,2.32343,0.90811,1.51441,0.0001586,0.0001586,0.0001586
95,312.117,1.63367,0.76501,1.20805,0.82071,0.79006,0.83635,0.30116,2.30596,0.90191,1.50698,0.0001388,0.0001388,0.0001388
96,314.702,1.60154,0.75282,1.16891,0.82651,0.7868,0.83431,0.2986,2.31395,0.90364,1.51475,0.000119,0.000119,0.000119
97,317.214,1.60847,0.73604,1.17748,0.82062,0.78173,0.82803,0.299,2.30672,0.90765,1.51429,9.92e-05,9.92e-05,9.92e-05
98,319.81,1.62335,0.76717,1.22824,0.81056,0.78187,0.81932,0.29781,2.30425,0.91177,1.51169,7.94e-05,7.94e-05,7.94e-05
99,322.923,1.62678,0.7561,1.18152,0.81491,0.7868,0.82735,0.29711,2.29943,0.91101,1.50867,5.96e-05,5.96e-05,5.96e-05
100,326.744,1.59704,0.74873,1.18777,0.80779,0.77665,0.81532,0.29463,2.31014,0.92036,1.51249,3.98e-05,3.98e-05,3.98e-05
